Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Madison Square Garden,Fiserv Forum,"(40.750512900000004, -73.99351594545152)","(43.04500955, -87.91748710581575)",1181.7283431938129
Madison Square Garden,Footprint Center,"(40.750512900000004, -73.99351594545152)","(33.4460392, -112.07110129629386)",3451.9437044112465
Madison Square Garden,Frost Bank Center,"(40.750512900000004, -73.99351594545152)","(29.4270504, -98.43750706398404)",2545.843942475054
Madison Square Garden,Gainbridge Fieldhouse,"(40.750512900000004, -73.99351594545152)","(39.7639331, -86.15550794973416)",1039.5866911690728
Madison Square Garden,Golden 1 Center,"(40.750512900000004, -73.99351594545152)","(38.58014045, -121.49950076409176)",4033.503203335117
Madison Square Garden,Kaseya Center,"(40.750512900000004, -73.99351594545152)","(25.781359549999998, -80.18794351626137)",1756.441597552193
Madison Square Garden,Little Caesars Arena,"(40.750512900000004, -73.99351594545152)","(42.3409774, -83.05495452754165)",776.0064574219869
Madison Square Garden,Moda Center,"(40.750512900000004, -73.99351594545152)","(45.5315787, -122.66683365218687)",3933.9513053312526
Madison Square Garden,Paycom Center,"(40.750512900000004, -73.99351594545152)","(35.46339605, -97.51508150130435)",2137.431566147968
Madison Square Garden,Rocket Mortgage FieldHouse,"(40.750512900000004, -73.99351594545152)","(41.4966862, -81.68857538921003)",651.2823943076356
Madison Square Garden,Scotiabank Arena,"(40.750512900000004, -73.99351594545152)","(43.64343375, -79.37907772483726)",548.5527527005053
Madison Square Garden,Smoothie King Center,"(40.750512900000004, -73.99351594545152)","(29.94903925, -90.08206899587637)",1885.2469605960111
Madison Square Garden,Spectrum Center,"(40.750512900000004, -73.99351594545152)","(35.225098, -80.83915411814897)",858.3854326302014
Madison Square Garden,State Farm Arena,"(40.750512900000004, -73.99351594545152)","(33.7573698, -84.39638483503104)",1204.2945507495276
Madison Square Garden,Target Center,"(40.750512900000004, -73.99351594545152)","(44.979512650000004, -93.27609502567992)",1639.7516437501931
Madison Square Garden,TD Garden,"(40.750512900000004, -73.99351594545152)","(42.3662986, -71.06216222263835)",303.28848493705397
Madison Square Garden,Toyota Center,"(40.750512900000004, -73.99351594545152)","(29.75074725, -95.36223151477087)",2286.3729163438074
Madison Square Garden,United Center,"(40.750512900000004, -73.99351594545152)","(41.88068305, -87.67418510441388)",1151.1299808313465
Madison Square Garden,Wells Fargo Center (Philadelphia),"(40.750512900000004, -73.99351594545152)","(39.901100400000004, -75.17201654615069)",137.57480307177897
Moda Center,American Airlines Center,"(45.5315787, -122.66683365218687)","(32.7905076, -96.81027213460834)",2626.610910497012
Moda Center,Amway Center,"(45.5315787, -122.66683365218687)","(28.53927385, -81.38400713924818)",4069.2812079361083
Moda Center,Ball Arena,"(45.5315787, -122.66683365218687)","(39.748683799999995, -105.00754401780362)",1579.989086172365
Moda Center,Barclays Center,"(45.5315787, -122.66683365218687)","(40.68251055, -73.97525186658912)",3938.478869502445
Moda Center,Capital One Arena,"(45.5315787, -122.66683365218687)","(38.8981883, -77.0209377602636)",3787.571810062225
Moda Center,Chase Center,"(45.5315787, -122.66683365218687)","(37.767892700000004, -122.38740721330376)",862.5994873681187
Moda Center,Crypto.com Arena,"(45.5315787, -122.66683365218687)","(34.0429979, -118.2671352463293)",1329.5355667583085
Moda Center,Delta Center,"(45.5315787, -122.66683365218687)","(40.76832735, -111.90105507486473)",1021.8794713431732
Moda Center,FedExForum,"(45.5315787, -122.66683365218687)","(35.1382401, -90.05069457768097)",2976.3178844843087
Moda Center,Fiserv Forum,"(45.5315787, -122.66683365218687)","(43.04500955, -87.91748710581575)",2765.499659661295
Moda Center,Footprint Center,"(45.5315787, -122.66683365218687)","(33.4460392, -112.07110129629386)",1618.9371578922053
Moda Center,Frost Bank Center,"(45.5315787, -122.66683365218687)","(29.4270504, -98.43750706398404)",2770.909847989254
Moda Center,Gainbridge Fieldhouse,"(45.5315787, -122.66683365218687)","(39.7639331, -86.15550794973416)",3034.2944241790287
Moda Center,Golden 1 Center,"(45.5315787, -122.66683365218687)","(38.58014045, -121.49950076409176)",778.12517753537
Moda Center,Kaseya Center,"(45.5315787, -122.66683365218687)","(25.781359549999998, -80.18794351626137)",4357.047731920538
Moda Center,Little Caesars Arena,"(45.5315787, -122.66683365218687)","(42.3409774, -83.05495452754165)",3167.674106008487
Moda Center,Madison Square Garden,"(45.5315787, -122.66683365218687)","(40.750512900000004, -73.99351594545152)",3933.9513053312526
Moda Center,Paycom Center,"(45.5315787, -122.66683365218687)","(35.46339605, -97.51508150130435)",2393.2203033103588
Moda Center,Rocket Mortgage FieldHouse,"(45.5315787, -122.66683365218687)","(41.4966862, -81.68857538921003)",3307.084642838841
Moda Center,Scotiabank Arena,"(45.5315787, -122.66683365218687)","(43.64343375, -79.37907772483726)",3402.0345359036555
Moda Center,Smoothie King Center,"(45.5315787, -122.66683365218687)","(29.94903925, -90.08206899587637)",3318.4634277809982
Moda Center,Spectrum Center,"(45.5315787, -122.66683365218687)","(35.225098, -80.83915411814897)",3684.8024137073626
Moda Center,State Farm Arena,"(45.5315787, -122.66683365218687)","(33.7573698, -84.39638483503104)",3495.1990305389804
Moda Center,Target Center,"(45.5315787, -122.66683365218687)","(44.979512650000004, -93.27609502567992)",2294.920095834475
Moda Center,TD Garden,"(45.5315787, -122.66683365218687)","(42.3662986, -71.06216222263835)",4085.701591719242
Moda Center,Toyota Center,"(45.5315787, -122.66683365218687)","(29.75074725, -95.36223151477087)",2954.818941507251
Moda Center,United Center,"(45.5315787, -122.66683365218687)","(41.88068305, -87.67418510441388)",2826.6084099705317
Moda Center,Wells Fargo Center (Philadelphia),"(45.5315787, -122.66683365218687)","(39.901100400000004, -75.17201654615069)",3882.6130214188534
Paycom Center,American Airlines Center,"(35.46339605, -97.51508150130435)","(32.7905076, -96.81027213460834)",303.5314602865707
Paycom Center,Amway Center,"(35.46339605, -97.51508150130435)","(28.53927385, -81.38400713924818)",1703.6367269266705
Paycom Center,Ball Arena,"(35.46339605, -97.51508150130435)","(39.748683799999995, -105.00754401780362)",814.3161175912062
Paycom Center,Barclays Center,"(35.46339605, -97.51508150130435)","(40.68251055, -73.97525186658912)",2137.8783285275863
Paycom Center,Capital One Arena,"(35.46339605, -97.51508150130435)","(38.8981883, -77.0209377602636)",1855.1599616497706
Paycom Center,Chase Center,"(35.46339605, -97.51508150130435)","(37.767892700000004, -122.38740721330376)",2233.0257036821718
Paycom Center,Crypto.com Arena,"(35.46339605, -97.51508150130435)","(34.0429979, -118.2671352463293)",1903.099481810589
Paycom Center,Delta Center,"(35.46339605, -97.51508150130435)","(40.76832735, -111.90105507486473)",1389.906991245633
Paycom Center,FedExForum,"(35.46339605, -97.51508150130435)","(35.1382401, -90.05069457768097)",679.7022638504067
Paycom Center,Fiserv Forum,"(35.46339605, -97.51508150130435)","(43.04500955, -87.91748710581575)",1179.453387700099
Paycom Center,Footprint Center,"(35.46339605, -97.51508150130435)","(33.4460392, -112.07110129629386)",1354.8337762787407
Paycom Center,Frost Bank Center,"(35.46339605, -97.51508150130435)","(29.4270504, -98.43750706398404)",674.9858611715135
Paycom Center,Gainbridge Fieldhouse,"(35.46339605, -97.51508150130435)","(39.7639331, -86.15550794973416)",1109.5914146391608
Paycom Center,Golden 1 Center,"(35.46339605, -97.51508150130435)","(38.58014045, -121.49950076409176)",2155.7891116178903
Paycom Center,Kaseya Center,"(35.46339605, -97.51508150130435)","(25.781359549999998, -80.18794351626137)",1973.090892865891
Paycom Center,Little Caesars Arena,"(35.46339605, -97.51508150130435)","(42.3409774, -83.05495452754165)",1465.4160735377388
Paycom Center,Madison Square Garden,"(35.46339605, -97.51508150130435)","(40.750512900000004, -73.99351594545152)",2137.431566147968
Paycom Center,Moda Center,"(35.46339605, -97.51508150130435)","(45.5315787, -122.66683365218687)",2393.2203033103588
Paycom Center,Rocket Mortgage FieldHouse,"(35.46339605, -97.51508150130435)","(41.4966862, -81.68857538921003)",1531.598107341091
Paycom Center,Scotiabank Arena,"(35.46339605, -97.51508150130435)","(43.64343375, -79.37907772483726)",1798.2328280071256
Paycom Center,Smoothie King Center,"(35.46339605, -97.51508150130435)","(29.94903925, -90.08206899587637)",926.6371336629119
Paycom Center,Spectrum Center,"(35.46339605, -97.51508150130435)","(35.225098, -80.83915411814897)",1514.3397870048113
Paycom Center,State Farm Arena,"(35.46339605, -97.51508150130435)","(33.7573698, -84.39638483503104)",1217.0762965373813
Paycom Center,Target Center,"(35.46339605, -97.51508150130435)","(44.979512650000004, -93.27609502567992)",1116.1330719061605
Paycom Center,TD Garden,"(35.46339605, -97.51508150130435)","(42.3662986, -71.06216222263835)",2407.2303721497497
Paycom Center,Toyota Center,"(35.46339605, -97.51508150130435)","(29.75074725, -95.36223151477087)",664.9112885389748
Paycom Center,United Center,"(35.46339605, -97.51508150130435)","(41.88068305, -87.67418510441388)",1112.636897132407
Paycom Center,Wells Fargo Center (Philadelphia),"(35.46339605, -97.51508150130435)","(39.901100400000004, -75.17201654615069)",2025.5902397446764
Rocket Mortgage FieldHouse,American Airlines Center,"(41.4966862, -81.68857538921003)","(32.7905076, -96.81027213460834)",1650.8136416687926
Rocket Mortgage FieldHouse,Amway Center,"(41.4966862, -81.68857538921003)","(28.53927385, -81.38400713924818)",1437.7943773913166
Rocket Mortgage FieldHouse,Ball Arena,"(41.4966862, -81.68857538921003)","(39.748683799999995, -105.00754401780362)",1976.576010729645
Rocket Mortgage FieldHouse,Barclays Center,"(41.4966862, -81.68857538921003)","(40.68251055, -73.97525186658912)",654.1320769713279
Rocket Mortgage FieldHouse,Capital One Arena,"(41.4966862, -81.68857538921003)","(38.8981883, -77.0209377602636)",491.0052670171813
Rocket Mortgage FieldHouse,Chase Center,"(41.4966862, -81.68857538921003)","(37.767892700000004, -122.38740721330376)",3486.039946815255
Rocket Mortgage FieldHouse,Crypto.com Arena,"(41.4966862, -81.68857538921003)","(34.0429979, -118.2671352463293)",3300.6937399096046
Rocket Mortgage FieldHouse,Delta Center,"(41.4966862, -81.68857538921003)","(40.76832735, -111.90105507486473)",2525.1730776668624
Rocket Mortgage FieldHouse,FedExForum,"(41.4966862, -81.68857538921003)","(35.1382401, -90.05069457768097)",1015.3803863763193
Rocket Mortgage FieldHouse,Fiserv Forum,"(41.4966862, -81.68857538921003)","(43.04500955, -87.91748710581575)",541.732114685957
Rocket Mortgage FieldHouse,Footprint Center,"(41.4966862, -81.68857538921003)","(33.4460392, -112.07110129629386)",2815.160510335348
Rocket Mortgage FieldHouse,Frost Bank Center,"(41.4966862, -81.68857538921003)","(29.4270504, -98.43750706398404)",2019.2784326874296
Rocket Mortgage FieldHouse,Gainbridge Fieldhouse,"(41.4966862, -81.68857538921003)","(39.7639331, -86.15550794973416)",424.00554455848487
Rocket Mortgage FieldHouse,Golden 1 Center,"(41.4966862, -81.68857538921003)","(38.58014045, -121.49950076409176)",3383.051021919596
Rocket Mortgage FieldHouse,Kaseya Center,"(41.4966862, -81.68857538921003)","(25.781359549999998, -80.18794351626137)",1748.5917654533553
Rocket Mortgage FieldHouse,Little Caesars Arena,"(41.4966862, -81.68857538921003)","(42.3409774, -83.05495452754165)",147.10913503298664
Rocket Mortgage FieldHouse,Madison Square Garden,"(41.4966862, -81.68857538921003)","(40.750512900000004, -73.99351594545152)",651.2823943076356
Rocket Mortgage FieldHouse,Moda Center,"(41.4966862, -81.68857538921003)","(45.5315787, -122.66683365218687)",3307.084642838841
Rocket Mortgage FieldHouse,Paycom Center,"(41.4966862, -81.68857538921003)","(35.46339605, -97.51508150130435)",1531.598107341091
Rocket Mortgage FieldHouse,Scotiabank Arena,"(41.4966862, -81.68857538921003)","(43.64343375, -79.37907772483726)",304.64576264510663
Rocket Mortgage FieldHouse,Smoothie King Center,"(41.4966862, -81.68857538921003)","(29.94903925, -90.08206899587637)",1487.6265650615926
Rocket Mortgage FieldHouse,Spectrum Center,"(41.4966862, -81.68857538921003)","(35.225098, -80.83915411814897)",700.1046674631931
Rocket Mortgage FieldHouse,State Farm Arena,"(41.4966862, -81.68857538921003)","(33.7573698, -84.39638483503104)",891.485891599772
Rocket Mortgage FieldHouse,Target Center,"(41.4966862, -81.68857538921003)","(44.979512650000004, -93.27609502567992)",1016.4445147894943
Rocket Mortgage FieldHouse,TD Garden,"(41.4966862, -81.68857538921003)","(42.3662986, -71.06216222263835)",886.0365785476835
Rocket Mortgage FieldHouse,Toyota Center,"(41.4966862, -81.68857538921003)","(29.75074725, -95.36223151477087)",1793.5026727539835
Rocket Mortgage FieldHouse,United Center,"(41.4966862, -81.68857538921003)","(41.88068305, -87.67418510441388)",500.0408217350263
Rocket Mortgage FieldHouse,Wells Fargo Center (Philadelphia),"(41.4966862, -81.68857538921003)","(39.901100400000004, -75.17201654615069)",578.3845956125504
Scotiabank Arena,American Airlines Center,"(43.64343375, -79.37907772483726)","(32.7905076, -96.81027213460834)",1937.6728300765428
Scotiabank Arena,Amway Center,"(43.64343375, -79.37907772483726)","(28.53927385, -81.38400713924818)",1685.5506270343344
Scotiabank Arena,Ball Arena,"(43.64343375, -79.37907772483726)","(39.748683799999995, -105.00754401780362)",2167.6679996577127
Scotiabank Arena,Barclays Center,"(43.64343375, -79.37907772483726)","(40.68251055, -73.97525186658912)",554.4090951336201
Scotiabank Arena,Capital One Arena,"(43.64343375, -79.37907772483726)","(38.8981883, -77.0209377602636)",562.7585675324373
Scotiabank Arena,Chase Center,"(43.64343375, -79.37907772483726)","(37.767892700000004, -122.38740721330376)",3650.7622291223156
Scotiabank Arena,Crypto.com Arena,"(43.64343375, -79.37907772483726)","(34.0429979, -118.2671352463293)",3504.2025310159142
Scotiabank Arena,Delta Center,"(43.64343375, -79.37907772483726)","(40.76832735, -111.90105507486473)",2687.2939615432865
Scotiabank Arena,FedExForum,"(43.64343375, -79.37907772483726)","(35.1382401, -90.05069457768097)",1315.7298868686312
Scotiabank Arena,Fiserv Forum,"(43.64343375, -79.37907772483726)","(43.04500955, -87.91748710581575)",695.2036863146737
Scotiabank Arena,Footprint Center,"(43.64343375, -79.37907772483726)","(33.4460392, -112.07110129629386)",3042.1548566067904
Scotiabank Arena,Frost Bank Center,"(43.64343375, -79.37907772483726)","(29.4270504, -98.43750706398404)",2313.498904993415
Scotiabank Arena,Gainbridge Fieldhouse,"(43.64343375, -79.37907772483726)","(39.7639331, -86.15550794973416)",709.3776813526765
Scotiabank Arena,Golden 1 Center,"(43.64343375, -79.37907772483726)","(38.58014045, -121.49950076409176)",3543.470398556715
Scotiabank Arena,Kaseya Center,"(43.64343375, -79.37907772483726)","(25.781359549999998, -80.18794351626137)",1982.949868312895
Scotiabank Arena,Little Caesars Arena,"(43.64343375, -79.37907772483726)","(42.3409774, -83.05495452754165)",332.8232754979422
Scotiabank Arena,Madison Square Garden,"(43.64343375, -79.37907772483726)","(40.750512900000004, -73.99351594545152)",548.5527527005053
Scotiabank Arena,Moda Center,"(43.64343375, -79.37907772483726)","(45.5315787, -122.66683365218687)",3402.0345359036555
Scotiabank Arena,Paycom Center,"(43.64343375, -79.37907772483726)","(35.46339605, -97.51508150130435)",1798.2328280071256
Scotiabank Arena,Rocket Mortgage FieldHouse,"(43.64343375, -79.37907772483726)","(41.4966862, -81.68857538921003)",304.64576264510663
Scotiabank Arena,Smoothie King Center,"(43.64343375, -79.37907772483726)","(29.94903925, -90.08206899587637)",1791.4874281425884
Scotiabank Arena,Spectrum Center,"(43.64343375, -79.37907772483726)","(35.225098, -80.83915411814897)",943.0083362259418
Scotiabank Arena,State Farm Arena,"(43.64343375, -79.37907772483726)","(33.7573698, -84.39638483503104)",1180.4535639539588
Scotiabank Arena,Target Center,"(43.64343375, -79.37907772483726)","(44.979512650000004, -93.27609502567992)",1117.2600514245805
Scotiabank Arena,TD Garden,"(43.64343375, -79.37907772483726)","(42.3662986, -71.06216222263835)",692.4784492791512
Scotiabank Arena,Toyota Center,"(43.64343375, -79.37907772483726)","(29.75074725, -95.36223151477087)",2094.145468146632
Scotiabank Arena,United Center,"(43.64343375, -79.37907772483726)","(41.88068305, -87.67418510441388)",706.3135375371663
Scotiabank Arena,Wells Fargo Center (Philadelphia),"(43.64343375, -79.37907772483726)","(39.901100400000004, -75.17201654615069)",543.0996072560397
Smoothie King Center,American Airlines Center,"(29.94903925, -90.08206899587637)","(32.7905076, -96.81027213460834)",713.1989963802357
Smoothie King Center,Amway Center,"(29.94903925, -90.08206899587637)","(28.53927385, -81.38400713924818)",859.6161134574407
Smoothie King Center,Ball Arena,"(29.94903925, -90.08206899587637)","(39.748683799999995, -105.00754401780362)",1740.8502097462522
Smoothie King Center,Barclays Center,"(29.94903925, -90.08206899587637)","(40.68251055, -73.97525186658912)",1882.266211780052
Smoothie King Center,Capital One Arena,"(29.94903925, -90.08206899587637)","(38.8981883, -77.0209377602636)",1554.9767506657142
Smoothie King Center,Chase Center,"(29.94903925, -90.08206899587637)","(37.767892700000004, -122.38740721330376)",3095.380739594086
Smoothie King Center,Crypto.com Arena,"(29.94903925, -90.08206899587637)","(34.0429979, -118.2671352463293)",2693.04318214616
Smoothie King Center,Delta Center,"(29.94903925, -90.08206899587637)","(40.76832735, -111.90105507486473)",2308.2529193978085
Smoothie King Center,FedExForum,"(29.94903925, -90.08206899587637)","(35.1382401, -90.05069457768097)",575.4727512656563
Smoothie King Center,Fiserv Forum,"(29.94903925, -90.08206899587637)","(43.04500955, -87.91748710581575)",1465.9901787054694
Smoothie King Center,Footprint Center,"(29.94903925, -90.08206899587637)","(33.4460392, -112.07110129629386)",2116.1674215910493
Smoothie King Center,Frost Bank Center,"(29.94903925, -90.08206899587637)","(29.4270504, -98.43750706398404)",810.5808319166468
Smoothie King Center,Gainbridge Fieldhouse,"(29.94903925, -90.08206899587637)","(39.7639331, -86.15550794973416)",1146.186450413188
Smoothie King Center,Golden 1 Center,"(29.94903925, -90.08206899587637)","(38.58014045, -121.49950076409176)",3030.3547748045266
Smoothie King Center,Kaseya Center,"(29.94903925, -90.08206899587637)","(25.781359549999998, -80.18794351626137)",1077.7298603971167
Smoothie King Center,Little Caesars Arena,"(29.94903925, -90.08206899587637)","(42.3409774, -83.05495452754165)",1512.1098360280484
Smoothie King Center,Madison Square Garden,"(29.94903925, -90.08206899587637)","(40.750512900000004, -73.99351594545152)",1885.2469605960111
Smoothie King Center,Moda Center,"(29.94903925, -90.08206899587637)","(45.5315787, -122.66683365218687)",3318.4634277809982
Smoothie King Center,Paycom Center,"(29.94903925, -90.08206899587637)","(35.46339605, -97.51508150130435)",926.6371336629119
Smoothie King Center,Rocket Mortgage FieldHouse,"(29.94903925, -90.08206899587637)","(41.4966862, -81.68857538921003)",1487.6265650615926
Smoothie King Center,Scotiabank Arena,"(29.94903925, -90.08206899587637)","(43.64343375, -79.37907772483726)",1791.4874281425884
Smoothie King Center,Spectrum Center,"(29.94903925, -90.08206899587637)","(35.225098, -80.83915411814897)",1045.8144380720705
Smoothie King Center,State Farm Arena,"(29.94903925, -90.08206899587637)","(33.7573698, -84.39638483503104)",683.8075147739992
Smoothie King Center,Target Center,"(29.94903925, -90.08206899587637)","(44.979512650000004, -93.27609502567992)",1691.587358254052
Smoothie King Center,TD Garden,"(29.94903925, -90.08206899587637)","(42.3662986, -71.06216222263835)",2188.2158235502507
Smoothie King Center,Toyota Center,"(29.94903925, -90.08206899587637)","(29.75074725, -95.36223151477087)",510.6562406111047
Smoothie King Center,United Center,"(29.94903925, -90.08206899587637)","(41.88068305, -87.67418510441388)",1341.4751788605731
Smoothie King Center,Wells Fargo Center (Philadelphia),"(29.94903925, -90.08206899587637)","(39.901100400000004, -75.17201654615069)",1749.2928874059467
Spectrum Center,American Airlines Center,"(35.225098, -80.83915411814897)","(32.7905076, -96.81027213460834)",1498.1288460218964
Spectrum Center,Amway Center,"(35.225098, -80.83915411814897)","(28.53927385, -81.38400713924818)",743.1454707822869
Spectrum Center,Ball Arena,"(35.225098, -80.83915411814897)","(39.748683799999995, -105.00754401780362)",2188.3696667120976
Spectrum Center,Barclays Center,"(35.225098, -80.83915411814897)","(40.68251055, -73.97525186658912)",854.3429187071475
Spectrum Center,Capital One Arena,"(35.225098, -80.83915411814897)","(38.8981883, -77.0209377602636)",530.4396566287154
Spectrum Center,Chase Center,"(35.225098, -80.83915411814897)","(37.767892700000004, -122.38740721330376)",3702.678119155762
Spectrum Center,Crypto.com Arena,"(35.225098, -80.83915411814897)","(34.0429979, -118.2671352463293)",3413.984348644152
Spectrum Center,Delta Center,"(35.225098, -80.83915411814897)","(40.76832735, -111.90105507486473)",2781.355747830846
Spectrum Center,FedExForum,"(35.225098, -80.83915411814897)","(35.1382401, -90.05069457768097)",838.7965777629868
Spectrum Center,Fiserv Forum,"(35.225098, -80.83915411814897)","(43.04500955, -87.91748710581575)",1061.2771569611014
Spectrum Center,Footprint Center,"(35.225098, -80.83915411814897)","(33.4460392, -112.07110129629386)",2868.9374669884874
Spectrum Center,Frost Bank Center,"(35.225098, -80.83915411814897)","(29.4270504, -98.43750706398404)",1774.178654030239
Spectrum Center,Gainbridge Fieldhouse,"(35.225098, -80.83915411814897)","(39.7639331, -86.15550794973416)",688.7775007633371
Spectrum Center,Golden 1 Center,"(35.225098, -80.83915411814897)","(38.58014045, -121.49950076409176)",3613.4180404901317
Spectrum Center,Kaseya Center,"(35.225098, -80.83915411814897)","(25.781359549999998, -80.18794351626137)",1048.8097131933791
Spectrum Center,Little Caesars Arena,"(35.225098, -80.83915411814897)","(42.3409774, -83.05495452754165)",812.9824440589839
Spectrum Center,Madison Square Garden,"(35.225098, -80.83915411814897)","(40.750512900000004, -73.99351594545152)",858.3854326302014
Spectrum Center,Moda Center,"(35.225098, -80.83915411814897)","(45.5315787, -122.66683365218687)",3684.8024137073626
Spectrum Center,Paycom Center,"(35.225098, -80.83915411814897)","(35.46339605, -97.51508150130435)",1514.3397870048113
Spectrum Center,Rocket Mortgage FieldHouse,"(35.225098, -80.83915411814897)","(41.4966862, -81.68857538921003)",700.1046674631931
Spectrum Center,Scotiabank Arena,"(35.225098, -80.83915411814897)","(43.64343375, -79.37907772483726)",943.0083362259418
Spectrum Center,Smoothie King Center,"(35.225098, -80.83915411814897)","(29.94903925, -90.08206899587637)",1045.8144380720705
Spectrum Center,State Farm Arena,"(35.225098, -80.83915411814897)","(33.7573698, -84.39638483503104)",365.0162814986303
Spectrum Center,Target Center,"(35.225098, -80.83915411814897)","(44.979512650000004, -93.27609502567992)",1512.3849355114055
Spectrum Center,TD Garden,"(35.225098, -80.83915411814897)","(42.3662986, -71.06216222263835)",1160.3731687948205
Spectrum Center,Toyota Center,"(35.225098, -80.83915411814897)","(29.75074725, -95.36223151477087)",1491.9032632373694
Spectrum Center,United Center,"(35.225098, -80.83915411814897)","(41.88068305, -87.67418510441388)",948.4234540629647
Spectrum Center,Wells Fargo Center (Philadelphia),"(35.225098, -80.83915411814897)","(39.901100400000004, -75.17201654615069)",720.8170867434327
State Farm Arena,American Airlines Center,"(33.7573698, -84.39638483503104)","(32.7905076, -96.81027213460834)",1160.7686639672634
State Farm Arena,Amway Center,"(33.7573698, -84.39638483503104)","(28.53927385, -81.38400713924818)",645.8318443734362
State Farm Arena,Ball Arena,"(33.7573698, -84.39638483503104)","(39.748683799999995, -105.00754401780362)",1951.4718842812747
State Farm Arena,Barclays Center,"(33.7573698, -84.39638483503104)","(40.68251055, -73.97525186658912)",1201.0264689248118
State Farm Arena,Capital One Arena,"(33.7573698, -84.39638483503104)","(38.8981883, -77.0209377602636)",873.4904463876961
State Farm Arena,Chase Center,"(33.7573698, -84.39638483503104)","(37.767892700000004, -122.38740721330376)",3440.6352180205663
State Farm Arena,Crypto.com Arena,"(33.7573698, -84.39638483503104)","(34.0429979, -118.2671352463293)",3118.4299602586934
State Farm Arena,Delta Center,"(33.7573698, -84.39638483503104)","(40.76832735, -111.90105507486473)",2548.563903857414
State Farm Arena,FedExForum,"(33.7573698, -84.39638483503104)","(35.1382401, -90.05069457768097)",541.6294872508872
State Farm Arena,Fiserv Forum,"(33.7573698, -84.39638483503104)","(43.04500955, -87.91748710581575)",1075.5896938625901
State Farm Arena,Footprint Center,"(33.7573698, -84.39638483503104)","(33.4460392, -112.07110129629386)",2561.0528150255805
State Farm Arena,Frost Bank Center,"(33.7573698, -84.39638483503104)","(29.4270504, -98.43750706398404)",1414.9848903069428
State Farm Arena,Gainbridge Fieldhouse,"(33.7573698, -84.39638483503104)","(39.7639331, -86.15550794973416)",684.7808013533125
State Farm Arena,Golden 1 Center,"(33.7573698, -84.39638483503104)","(38.58014045, -121.49950076409176)",3357.690595881046
State Farm Arena,Kaseya Center,"(33.7573698, -84.39638483503104)","(25.781359549999998, -80.18794351626137)",973.0321523711314
State Farm Arena,Little Caesars Arena,"(33.7573698, -84.39638483503104)","(42.3409774, -83.05495452754165)",959.971827024354
State Farm Arena,Madison Square Garden,"(33.7573698, -84.39638483503104)","(40.750512900000004, -73.99351594545152)",1204.2945507495276
State Farm Arena,Moda Center,"(33.7573698, -84.39638483503104)","(45.5315787, -122.66683365218687)",3495.1990305389804
State Farm Arena,Paycom Center,"(33.7573698, -84.39638483503104)","(35.46339605, -97.51508150130435)",1217.0762965373813
State Farm Arena,Rocket Mortgage FieldHouse,"(33.7573698, -84.39638483503104)","(41.4966862, -81.68857538921003)",891.485891599772
State Farm Arena,Scotiabank Arena,"(33.7573698, -84.39638483503104)","(43.64343375, -79.37907772483726)",1180.4535639539588
State Farm Arena,Smoothie King Center,"(33.7573698, -84.39638483503104)","(29.94903925, -90.08206899587637)",683.8075147739992
State Farm Arena,Spectrum Center,"(33.7573698, -84.39638483503104)","(35.225098, -80.83915411814897)",365.0162814986303
State Farm Arena,Target Center,"(33.7573698, -84.39638483503104)","(44.979512650000004, -93.27609502567992)",1460.0401615816695
State Farm Arena,TD Garden,"(33.7573698, -84.39638483503104)","(42.3662986, -71.06216222263835)",1507.5761424296022
State Farm Arena,Toyota Center,"(33.7573698, -84.39638483503104)","(29.75074725, -95.36223151477087)",1129.130280378232
State Farm Arena,United Center,"(33.7573698, -84.39638483503104)","(41.88068305, -87.67418510441388)",946.4865510710621
State Farm Arena,Wells Fargo Center (Philadelphia),"(33.7573698, -84.39638483503104)","(39.901100400000004, -75.17201654615069)",1067.5948655145776
Target Center,American Airlines Center,"(44.979512650000004, -93.27609502567992)","(32.7905076, -96.81027213460834)",1387.0806974800337
Target Center,Amway Center,"(44.979512650000004, -93.27609502567992)","(28.53927385, -81.38400713924818)",2105.6921807897784
Target Center,Ball Arena,"(44.979512650000004, -93.27609502567992)","(39.748683799999995, -105.00754401780362)",1125.9583419932985
Target Center,Barclays Center,"(44.979512650000004, -93.27609502567992)","(40.68251055, -73.97525186658912)",1644.1405391179708
Target Center,Capital One Arena,"(44.979512650000004, -93.27609502567992)","(38.8981883, -77.0209377602636)",1504.0467467648073
Target Center,Chase Center,"(44.979512650000004, -93.27609502567992)","(37.767892700000004, -122.38740721330376)",2547.5875929250424
Target Center,Crypto.com Arena,"(44.979512650000004, -93.27609502567992)","(34.0429979, -118.2671352463293)",2453.7305794788626
Target Center,Delta Center,"(44.979512650000004, -93.27609502567992)","(40.76832735, -111.90105507486473)",1587.9250503430417
Target Center,FedExForum,"(44.979512650000004, -93.27609502567992)","(35.1382401, -90.05069457768097)",1126.5949783012252
Target Center,Fiserv Forum,"(44.979512650000004, -93.27609502567992)","(43.04500955, -87.91748710581575)",480.3301452218487
Target Center,Footprint Center,"(44.979512650000004, -93.27609502567992)","(33.4460392, -112.07110129629386)",2058.699251884376
Target Center,Frost Bank Center,"(44.979512650000004, -93.27609502567992)","(29.4270504, -98.43750706398404)",1784.8406276822202
Target Center,Gainbridge Fieldhouse,"(44.979512650000004, -93.27609502567992)","(39.7639331, -86.15550794973416)",823.7687736661712
