Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Barclays Center,Spectrum Center,"(40.68251055, -73.97525186658912)","(35.225098, -80.83915411814897)",854.3429187071475
Barclays Center,State Farm Arena,"(40.68251055, -73.97525186658912)","(33.7573698, -84.39638483503104)",1201.0264689248118
Barclays Center,Target Center,"(40.68251055, -73.97525186658912)","(44.979512650000004, -93.27609502567992)",1644.1405391179708
Barclays Center,TD Garden,"(40.68251055, -73.97525186658912)","(42.3662986, -71.06216222263835)",306.70757694077065
Barclays Center,Toyota Center,"(40.68251055, -73.97525186658912)","(29.75074725, -95.36223151477087)",2284.523856816217
Barclays Center,United Center,"(40.68251055, -73.97525186658912)","(41.88068305, -87.67418510441388)",1154.0774205057833
Barclays Center,Wells Fargo Center (Philadelphia),"(40.68251055, -73.97525186658912)","(39.901100400000004, -75.17201654615069)",133.7277680805647
Capital One Arena,American Airlines Center,"(38.8981883, -77.0209377602636)","(32.7905076, -96.81027213460834)",1907.0030327361635
Capital One Arena,Amway Center,"(38.8981883, -77.0209377602636)","(28.53927385, -81.38400713924818)",1217.6476188567074
Capital One Arena,Ball Arena,"(38.8981883, -77.0209377602636)","(39.748683799999995, -105.00754401780362)",2405.327710017166
Capital One Arena,Barclays Center,"(38.8981883, -77.0209377602636)","(40.68251055, -73.97525186658912)",327.539828781667
Capital One Arena,Chase Center,"(38.8981883, -77.0209377602636)","(37.767892700000004, -122.38740721330376)",3927.0582227252976
Capital One Arena,Crypto.com Arena,"(38.8981883, -77.0209377602636)","(34.0429979, -118.2671352463293)",3704.014491301924
Capital One Arena,Delta Center,"(38.8981883, -77.0209377602636)","(40.76832735, -111.90105507486473)",2973.324504412362
Capital One Arena,FedExForum,"(38.8981883, -77.0209377602636)","(35.1382401, -90.05069457768097)",1230.9335102741577
Capital One Arena,Fiserv Forum,"(38.8981883, -77.0209377602636)","(43.04500955, -87.91748710581575)",1025.1822084547769
Capital One Arena,Footprint Center,"(38.8981883, -77.0209377602636)","(33.4460392, -112.07110129629386)",3190.5950954086215
Capital One Arena,Frost Bank Center,"(38.8981883, -77.0209377602636)","(29.4270504, -98.43750706398404)",2228.8727193383543
Capital One Arena,Gainbridge Fieldhouse,"(38.8981883, -77.0209377602636)","(39.7639331, -86.15550794973416)",793.0820041185204
Capital One Arena,Golden 1 Center,"(38.8981883, -77.0209377602636)","(38.58014045, -121.49950076409176)",3827.9290020511594
Capital One Arena,Kaseya Center,"(38.8981883, -77.0209377602636)","(25.781359549999998, -80.18794351626137)",1484.5402133835055
Capital One Arena,Little Caesars Arena,"(38.8981883, -77.0209377602636)","(42.3409774, -83.05495452754165)",637.57319370679
Capital One Arena,Madison Square Garden,"(38.8981883, -77.0209377602636)","(40.750512900000004, -73.99351594545152)",330.8331198689988
Capital One Arena,Moda Center,"(38.8981883, -77.0209377602636)","(45.5315787, -122.66683365218687)",3787.571810062225
Capital One Arena,Paycom Center,"(38.8981883, -77.0209377602636)","(35.46339605, -97.51508150130435)",1855.1599616497706
Capital One Arena,Rocket Mortgage FieldHouse,"(38.8981883, -77.0209377602636)","(41.4966862, -81.68857538921003)",491.0052670171813
Capital One Arena,Scotiabank Arena,"(38.8981883, -77.0209377602636)","(43.64343375, -79.37907772483726)",562.7585675324373
Capital One Arena,Smoothie King Center,"(38.8981883, -77.0209377602636)","(29.94903925, -90.08206899587637)",1554.9767506657142
Capital One Arena,Spectrum Center,"(38.8981883, -77.0209377602636)","(35.225098, -80.83915411814897)",530.4396566287154
Capital One Arena,State Farm Arena,"(38.8981883, -77.0209377602636)","(33.7573698, -84.39638483503104)",873.4904463876961
Capital One Arena,Target Center,"(38.8981883, -77.0209377602636)","(44.979512650000004, -93.27609502567992)",1504.0467467648073
Capital One Arena,TD Garden,"(38.8981883, -77.0209377602636)","(42.3662986, -71.06216222263835)",634.1204819699817
Capital One Arena,Toyota Center,"(38.8981883, -77.0209377602636)","(29.75074725, -95.36223151477087)",1963.8238557864627
Capital One Arena,United Center,"(38.8981883, -77.0209377602636)","(41.88068305, -87.67418510441388)",962.4362495132654
Capital One Arena,Wells Fargo Center (Philadelphia),"(38.8981883, -77.0209377602636)","(39.901100400000004, -75.17201654615069)",194.31697003809427
Chase Center,American Airlines Center,"(37.767892700000004, -122.38740721330376)","(32.7905076, -96.81027213460834)",2383.417508173972
Chase Center,Amway Center,"(37.767892700000004, -122.38740721330376)","(28.53927385, -81.38400713924818)",3926.1549352798925
Chase Center,Ball Arena,"(37.767892700000004, -122.38740721330376)","(39.748683799999995, -105.00754401780362)",1524.106555795979
Chase Center,Barclays Center,"(37.767892700000004, -122.38740721330376)","(40.68251055, -73.97525186658912)",4139.991464543456
Chase Center,Capital One Arena,"(37.767892700000004, -122.38740721330376)","(38.8981883, -77.0209377602636)",3927.0582227252976
Chase Center,Crypto.com Arena,"(37.767892700000004, -122.38740721330376)","(34.0429979, -118.2671352463293)",555.8915314922967
Chase Center,Delta Center,"(37.767892700000004, -122.38740721330376)","(40.76832735, -111.90105507486473)",963.5499821760428
Chase Center,FedExForum,"(37.767892700000004, -122.38740721330376)","(35.1382401, -90.05069457768097)",2899.027831467267
Chase Center,Fiserv Forum,"(37.767892700000004, -122.38740721330376)","(43.04500955, -87.91748710581575)",2962.315962135176
Chase Center,Footprint Center,"(37.767892700000004, -122.38740721330376)","(33.4460392, -112.07110129629386)",1049.685384194235
