16  2547.587593  2453.730579  2453.730579  2058.699252  2437.476704   
17  2233.025704  1903.099482  1903.099482  1354.833776  2155.789112   
18   862.599487  1329.535567  1329.535567  1618.937158   778.125178   
19   963.549982   934.712488   934.712488   812.768139   858.094710   
20     0.000000   555.891531   555.891531  1049.685384   119.086417   
21   555.891531     0.000000     0.000000   577.840927   581.052076   
22   555.891531     0.000000     0.000000   577.840927   581.052076   
23  1049.685384   577.840927   577.840927     0.000000  1022.323769   
24   119.086417   581.052076   581.052076  1022.323769     0.000000   
25  2383.417508  1996.908206  1996.908206  1424.843219  2317.308593   
26  2645.571002  2213.378716  2213.378716  1635.724915  2589.916446   
27  2899.027831  2582.789890  2582.789890  2031.873081  2816.444685   
28  3095.380740  2693.043182  2693.043182  2116.167422  3030.354775   
29  2398.941671  1944.008500  1944.008500  1369.238045  2351.068182   

             25           26           27           28           29  
0   1937.672830  2094.145468  1315.729887  1791.487428  2313.498905  
1   2497.240192  2584.047522  1829.744295  2188.215824  2839.348341  
2   2211.199418  2284.523857  1538.754887  1882.266212  2544.476107  
3   2211.816682  2286.372916  1539.695419  1885.246961  2545.843942  
4   2089.735802  2155.447965  1415.306104  1749.292887  2417.918240  
5   1229.349917  1392.683544   618.192251  1146.186450  1604.503751  
6   1291.906226  1513.042778   776.533185  1341.475179  1687.845898  
7   1789.317344  1557.677311  1403.060567  1077.729860  1844.168631  
8   1160.768664  1129.130280   541.629487   683.807515  1414.984890  
9   1498.128846  1491.903263   838.796578  1045.814438  1774.178654  
10  1650.813642  1793.502673  1015.380386  1487.626565  2019.278433  
11  1608.810138  1779.640152  1003.824989  1512.109836  1989.320558  
12  1549.931139  1365.881273  1098.392330   859.616113  1663.374691  
13  1907.003033  1963.823856  1230.933510  1554.976751  2228.872719  
14  1066.124451  1415.889687  1416.808668  1740.850210  1293.009243  
15  1379.082911  1617.667778   896.890928  1465.990179  1779.291749  
16  1387.080697  1700.092731  1126.594978  1691.587358  1784.840628  
17   303.531460   664.911289   679.702264   926.637134   674.985861  
18  2626.610910  2954.818942  2976.317884  3318.463428  2770.909848  
19  1608.389342  1932.993937  2013.200288  2308.252919  1753.744970  
20  2383.417508  2645.571002  2899.027831  3095.380740  2398.941671  
21  1996.908206  2213.378716  2582.789890  2693.043182  1944.008500  
22  1996.908206  2213.378716  2582.789890  2693.043182  1944.008500  
23  1424.843219  1635.724915  2031.873081  2116.167422  1369.238045  
24  2317.308593  2589.916446  2816.444685  3030.354775  2351.068182  
25     0.000000   364.139083   676.645252   713.198996   403.911859  
26   364.139083     0.000000   778.428373   510.656241   300.080560  
27   676.645252   778.428373     0.000000   575.472751  1011.847035  
28   713.198996   510.656241   575.472751     0.000000   810.580832  
29   403.911859   300.080560  1011.847035   810.580832     0.000000  
